id,english,gikuyu,domain,notes
1,"Good morning, how did you sleep?",Wîmwega ruciinî. Uraire atîa?,Greetings & Social,
2,Where are you going this afternoon?,Ûrathiî kû mîaraho ya ûmûthî?,Greetings & Social,
3,Please greet your family from me.,Ngeithîria andû aku,Greetings & Social,
4,I have not seen you in a long time.,Ndikuonete kahinda karaihu,Greetings & Social,
5,Thank you for coming to visit us today.,Ngatho nî gûûka gûtucerera,Greetings & Social,Alt: Ngatho nî ûndû wa gûûka gûtûcerera
6,How are your children doing in school?,Twana twaku no tûrathoma wega cukuru?,Greetings & Social,
7,We will meet again tomorrow at the market.,Nîtûkonana rîngî rûcio ndûnyû-ini.,Greetings & Social,
8,"You look well today, what is your secret?","Ûmûthî ûhana wega, thiri nî kîî?",Greetings & Social,Alt ending: îrîkû
9,It has been a busy week for everyone here.,Gîkoretwo gî kiumia kîa mîhang'o mûno harî ithuî ithuothe haha.,Greetings & Social,
10,Please sit down and make yourself comfortable.,Ikara thî na ûigue ûiganîire.,Greetings & Social,
11,The rains came early this year and the crops are good.,Mbura nî îraurire tene mwaka ûyû na irio/mîmera nî îrakûra wega,Agriculture & Food,
12,We will harvest the maize next week if it does not rain.,Nîtûkagetha mbembe kiumia gîûkîte kwaga kuura.,Agriculture & Food,
13,The soil in this valley is very fertile.,Tîîri wa mûkuru ûyû nî mûnoru mûno,Agriculture & Food,
14,My mother is cooking beans and sweet potatoes for dinner.,Maitû/mami araruga mboco na ngaci hwaini,Agriculture & Food,Alt: maitû
15,The goats escaped from the fence last night.,Mbûri ciragerire rûgiri-ini ûtukû,Agriculture & Food,
16,We need to plant more vegetables near the river.,Nî twagîrîire tûhande nyeni hakuhî na rûûî,Agriculture & Food,
17,The market opens very early in the morning on Saturdays.,Thoko îhingûragwo tene mûno mûthenya wa juma,Agriculture & Food,
18,How much does a kilo of tomatoes cost today?,Kilo îmwe ya nyanya îrendio mbeca ciigana ûmûthî?,Agriculture & Food,Alt forms: îrauma atîa / îrendio atîa
19,The tea leaves are ready to be picked this morning.,Macani nomatuuo rûûcini rûrû,Agriculture & Food,
20,"We keep cows, chickens, and a few sheep on our farm.","Twî na ng'ombe, ngûkû na ng'ondu mûgûnda-inî witû.",Agriculture & Food,
21,Take this medicine twice a day after eating.,Ûnyuage dawa îno maita meerî omûthenya warîa irio,Health & Medicine,
22,The child has had a fever for three days now.,Mwana akoretwo na ûrugarî thikû ithatu rîu,Health & Medicine,
23,You should drink plenty of clean water every day.,O mûthenya ûkanyua maaî maingî matheru,Health & Medicine,
24,This tablet should not be given to pregnant women.,Dawa îno ndîkanyuuo nî mûtumia mûritû,Health & Medicine,Alt: mûtumia wî na ihu
25,The nurse will take your blood pressure before the doctor sees you.,,Health & Medicine,Sentence left blank by translator
26,Wash your hands with soap before and after meals.,Wîthambage momo na thabuni ûtanarîa na warîkia kûrîa,Health & Medicine,
27,Are you allergic to any medicines that you know of?,Nî harî dawa îgûthûkagîra?,Health & Medicine,
28,Malaria is spread through the bites of infected mosquitoes.,Malaria marehagwo ni kûrûmwo ni rwagî,Health & Medicine,
29,Bring the patient back to the clinic if the symptoms get worse.,Ûcokie mûrûarû dariri cia thiî na mbere,Health & Medicine,
30,Immunization protects children from dangerous diseases.,Njanjo nîigiragîrîria ciana kumana na mîrimû ya ûgwati,Health & Medicine,
31,The hospital charges a small fee for outpatient consultations.,Thibitarî ni îrîhagia marîhi manini ma kuona ndagîtarî,Health & Medicine,
32,She has been feeling chest pain and shortness of breath.,Akoretwo akîigua ruo gîthûri na kwaga mîrukî,Health & Medicine,
33,The teacher wrote the lesson on the blackboard.,Mwarimû aandîkire ithoma rûthingo-ini rûirû,Education,
34,Students must bring their exercise books every Monday.,Arutwo no mûhaka marehe mabuku mao ma kwandîkîra oo mûthenya wa jumatatû,Education,Alt: mwambîrîrio
35,The school fees for this term are due next week.,Marîhi ma cukuru ma ihinda rîrî marîhwo gûgîkinyîria kiumia gîukîte,Education,
36,Reading every day helps you to improve your vocabulary.,Gûthoma o mûthenya nîgûteithagia kwagîria rûthiomi rwaku,Education,
37,The national exams will be held in November this year.,Igeranio cia bûrûri cigatabanio mweri inî wa ikûmi na ûmwe mwaka ini ûyû,Education,
38,She passed all her subjects with very high marks.,Ahîtûkire igeranio ciake ciothe na gíkîro kîa igûrû mûno,Education,No specific Gikuyu word for 'subject'
39,The school library has many books on science and history.,Nyûmba ya mabuku ya cukuru îrî na mabuku maingi ma thayathi/cayanci na maûndû ma tene,Education,
40,Parents are encouraged to attend the school meeting on Friday.,Aciari nîmarorio magoka mucemanio wa cukuru mûthenya wa gatano,Education,
41,He wants to study engineering at the university.,Arenda gûthomera injinia cukuru-ini wa yunivasîtî,Education,
42,Learning your mother tongue keeps culture alive.,Gûthoma rûthiomi rwa maitû nîgûtûûragia ûndûire,Education,
